StationNumber,Station,StationId,Latitude,Longitude
1,Dhaka,0,23.76667,90.38333
2,Tangail,0,24.25,89.93333
3,Mymensingh,0,24.71667,90.43333
4,Faridpur,0,23.6,89.85
5,Madaripur,0,23.16667,90.18333
6,Srimangal,0,24.3,91.73333
7,Sylhet,0,24.9,91.88333
8,Bogra,0,24.85,89.36667
9,Dinajpur,0,25.65,88.68333
10,Ishurdi,0,24.13333,89.05
11,Rajshahi,0,24.36667,88.7
12,Rangpur,0,25.73333,89.23333
13,Syedpur,0,25.75,88.91667
14,Chuadanga,0,23.65,88.81667
15,Jessore,0,23.18333,89.16667
16,Khulna,0,22.78333,89.53333
17,Mongla,0,22.46667,89.6
18,Satkhira,0,22.71667,89.08333
19,Barisal,0,22.75,90.36667
20,Bhola,0,22.68333,90.65
21,Khepupara,0,21.98333,90.23333
22,Pauakhali,0,22.33333,90.33333
23,Chandpur,0,23.26667,90.7
24,Teknaf,0,20.86667,92.3
25,Chittagonj,0,22.27,91.82
26,Comilla,0,23.43333,91.18333
27,CoxsBazar,0,21.45,91.96667
28,Feni,0,23.03333,91.41667
29,Hatiya,0,22.43333,91.1
30,Kutubdia,0,21.81667,91.85
31,M.court,0,22.86667,91.1
32,Rangamati,0,22.53333,92.2
33,Sandwip,0,22.48333,91.43333
34,Ambagan(Ctg),0,22.35,91.816667
35,Sitakunda,0,22.58333,91.7
36,Dimla,0,26.12833,88.925
37,Rajarhat,0,25.805,89.66833
38,Gopalgonj,0,23.00722,89.83333
39,Natrakona,0,24.8775,90.7275
40,Nikli,0,24.31667,90.91667
41,Tarash,0,24.43333,89.36667
42,Tetulia,0,26.58333,88.55

